         8	0.000001387	0.000002363
        16	0.000000427	0.000002335
        32	0.000000348	0.000002312
        64	0.000000347	0.000002364
       128	0.000000369	0.000002398
       256	0.000000439	0.000004956
       512	0.000000525	0.000003100
      1024	0.000000744	0.000003331
      2048	0.000001137	0.000003682
      4096	0.000001988	0.000004560
      8192	0.000001096	0.000005489
     16384	0.000001483	0.000007831
     32768	0.000001869	0.000009911
     65536	0.000003277	0.000013273
    131072	0.000006006	0.000020027
    262144	0.000011237	0.000033028
    524288	0.000018375	0.000054757
   1048576	0.000031106	0.000097560
   2097152	0.000057806	0.000183311
   4194304	0.000111097	0.000354498
   8388608	0.000480289	0.000696813
  16777216	0.001433857	0.001381544
  33554432	0.002579381	0.002750951
  67108864	0.004894882	0.005489188
 134217728	0.008781470	0.010965712
 268435456	0.016495178	0.021918453
 536870912	0.032015551	0.073387628
1073741824	0.062773665	0.136567388
