         8	0.000214270	0.000199488
        16	0.000004139	0.000000371
        32	0.000004116	0.000000358
        64	0.000008712	0.000000344
       128	0.000004178	0.000000337
       256	0.000004142	0.000000320
       512	0.000004183	0.000000342
      1024	0.000004230	0.000000359
      2048	0.000004477	0.000000393
      4096	0.000013769	0.000000450
      8192	0.000012098	0.000000772
     16384	0.000012622	0.000001163
     32768	0.000015829	0.000003327
     65536	0.000018149	0.000004130
    131072	0.000020437	0.000005441
    262144	0.000029885	0.000010351
    524288	0.000036721	0.000015767
   1048576	0.000057598	0.000024696
   2097152	0.000099991	0.000038798
   4194304	0.000185206	0.000061476
   8388608	0.000358560	0.000605797
  16777216	0.000700286	0.001012703
  33554432	0.001385596	0.001858380
  67108864	0.002764866	0.003866119
 134217728	0.005503349	0.007060747
 268435456	0.010983264	0.013703237
 536870912	0.022027015	0.027265732
1073741824	0.046009836	0.054074614
